prompt_id,split,category,source_row,field,n_tokens,distinct_tokens,repeated_4gram_fraction,top20_token_share,text_sha256
human-00000,human_response,brainstorming,11297,response,226,144,0.008969,0.389381,466eef4d828b9e0fbe76d9ba0ea60c9fa7877ed6cf5f2837980983f64c59ee7c
human-00001,human_response,classification,11621,response,144,70,0.042553,0.604167,ade9aea0d3fbf40af14d8395e18cf6f33e9bee6f32a384b9e5aab5f0676722ab
human-00002,human_response,brainstorming,1451,response,485,174,0.041494,0.470103,1ba45fbd3b0f8c88caa3972cc2e444c0a3b0f3025c20c06e5ec23d2cd992e6de
human-00003,human_response,general_qa,3657,response,129,73,0.007937,0.550388,26162d1cf57b5f856268c2871e951094d09b778693772ff4ad6bd1d768fabff0
human-00004,human_context,closed_qa,10167,context,249,127,0.052846,0.477912,5df9a77bd2cdb1e3673244dc887c455b8e6da1d0c1e5db5aaf30ab503384f2cd
human-00005,human_response,general_qa,1171,response,172,105,0.0,0.494186,a2bb87b71b2d9ea19d2a7bc31726f040970c141281d7a3bfccca4174a285dfce
human-00006,human_response,open_qa,6981,response,150,101,0.0,0.413333,a18724b4afdf36c3f5a81750126ca78fb4422142de11b8933b90e6b087b76df0
human-00007,human_context,summarization,491,context,188,116,0.037838,0.441489,b00f5e1323df3ae2370a671c0d6fa512fb72fe214b6baca27c59cbf0e22b6d75
human-00008,human_context,information_extraction,2020,context,142,95,0.0,0.471831,5bdd3e610856e489970f0825a71d2ca2b96e67787da75f8a217263ff4446ad0d
human-00009,human_response,general_qa,5554,response,238,138,0.004255,0.44958,246c5fc2209590b018454940b32e4d204fba04317feff2fd93b954968f4023fc
human-00010,human_response,open_qa,320,response,160,99,0.006369,0.46875,9f52db4fd3e035489d2cde7b8a3cc300925ce0c76676cc07610690ce764a8617
human-00011,human_context,information_extraction,7676,context,493,229,0.046939,0.425963,b9e55715cde6cc9d127df11eb478d9a4d8a7a38324c36f9d199836e630a10911
human-00012,human_response,creative_writing,14925,response,245,142,0.0,0.428571,1b2d388f7d5add8a222dcfa22d42c6900cc96968b66740bbd7cbda78ddca7339
human-00013,human_response,summarization,13445,response,162,95,0.0,0.450617,e3eee3713fdf6ae51ec868797667be94037eb3a97cf3607a264bd7bed64a817a
human-00014,human_context,closed_qa,13310,context,224,143,0.004525,0.424107,cc66799b0cb65bfbc5626ddf3c5aa3c7a920845034c7681ac19bc56be306d110
human-00015,human_context,information_extraction,1258,context,283,186,0.010714,0.363958,b5345ef541f3fb6516d308c47576f8f468a4ab81463f0cb8d0c2fe4449878e13
human-00016,human_context,information_extraction,1314,context,198,109,0.030769,0.429293,039aded311f7f338e8d405b76f438e5693189b4663a640ac7aba672fbd2d5ae7
human-00017,human_response,open_qa,6509,response,209,137,0.009709,0.354067,989fe956def120c39206b66c57cd07c64c9245e48c2b0e01a547b9760303dfa4
human-00018,human_context,summarization,1223,context,2191,705,0.159963,0.531264,ef85ea0614159066eeea4e456167bf7ef895fc42709a93a050643abd7778797b
human-00019,human_context,information_extraction,1358,context,536,165,0.140713,0.526119,a8b9937ea502de00c54bae4bef12c8563df9061f42448fef8fca14b74decd5cc
human-00020,human_response,general_qa,1003,response,335,171,0.01506,0.447761,a4f321f0c58442ad77bc837f0dd979cdc4742cc0bad69f640579b1508c93230b
human-00021,human_context,information_extraction,2713,context,170,94,0.065868,0.488235,0a50a171118433a1ab7b7a985798ab6f5b7621423524d546246521f9a5e04fac
human-00022,human_response,summarization,7764,response,159,114,0.0,0.408805,f3b8bfe62d14d7f1817d7c44bd275494f41e6d5c30ffa3432a31c04f0dbaaafc
